Material_Name,Sealing_Temperature_C,Sealing_Pressure_N_cm2,Sealing_Time_ms,Seal_Strength_N_15mm,Validation
Paper100+metOPP18,120.0,38.5,200.0,0.17491888999938965,0.0
Paper100+metOPP18,120.0,38.5,500.0,1.2149463295936584,0.0
Paper100+metOPP18,120.0,38.5,750.0,1.0161106586456299,1.0
Paper100+metOPP18,120.0,77.0,750.0,1.7050453821818035,0.0
Paper100+metOPP18,120.0,115.5,200.0,0.19303618868192038,1.0
Paper100+metOPP18,120.0,115.5,750.0,1.1863555908203125,0.0
Paper100+metOPP18,168.0,77.0,200.0,7.900057792663574,0.0
Paper100+metOPP18,168.0,115.5,500.0,7.913582960764567,0.0
Paper100+metOPP18,192.0,38.5,200.0,7.909776210784912,0.0
Paper100+metOPP18,192.0,38.5,750.0,8.175173282623291,0.0
Paper100+metOPP18,240.0,38.5,200.0,7.625068664550781,0.0
Paper100+metOPP18,240.0,38.5,750.0,12.108054478963217,1.0
Paper100+metOPP18,240.0,77.0,500.0,9.032910664876303,0.0
Paper100+metOPP18,240.0,115.5,200.0,6.975330352783203,1.0
Paper100+metOPP18,240.0,115.5,750.0,11.043595949808756,0.0
Paper70+metOPP18,120.0,38.5,200.0,6.989398002624512,0.0
Paper70+metOPP18,120.0,38.5,750.0,7.734536170959473,1.0
Paper70+metOPP18,120.0,77.0,500.0,7.421939214070638,0.0
Paper70+metOPP18,120.0,115.5,200.0,6.184976736704509,1.0
Paper70+metOPP18,120.0,115.5,750.0,7.237075010935466,0.0
Paper70+metOPP18,168.0,38.5,200.0,8.369193394978842,0.0
Paper70+metOPP18,168.0,115.5,200.0,8.535741488138834,0.0
Paper70+metOPP18,192.0,77.0,750.0,8.885359446207682,0.0
Paper70+metOPP18,192.0,115.5,500.0,8.421090920766195,0.0
Paper70+metOPP18,240.0,38.5,200.0,9.271456718444824,0.0
Paper70+metOPP18,240.0,38.5,500.0,15.204842249552408,1.0
Paper70+metOPP18,240.0,38.5,750.0,15.471530278523764,1.0
Paper70+metOPP18,240.0,77.0,200.0,7.598838011423747,0.0
Paper70+metOPP18,240.0,115.5,200.0,6.906582037607829,1.0
Paper70+metOPP18,240.0,115.5,750.0,17.65640417734782,0.0
Paper90+metOPP15,120.0,38.5,200.0,6.684528350830078,0.0
Paper90+metOPP15,120.0,38.5,750.0,6.690849145253499,1.0
Paper90+metOPP15,120.0,77.0,500.0,6.7448164621988935,0.0
Paper90+metOPP15,120.0,115.5,200.0,6.546475092569987,1.0
Paper90+metOPP15,120.0,115.5,750.0,6.350550810496013,0.0
Paper90+metOPP15,168.0,38.5,500.0,6.167084693908691,0.0
Paper90+metOPP15,168.0,115.5,750.0,6.3555450439453125,0.0
Paper90+metOPP15,192.0,77.0,200.0,6.101256052652995,0.0
Paper90+metOPP15,240.0,38.5,200.0,5.958143711090088,0.0
