"Feature","Importance"
"Sealing_Temperature_C-log","1.44e+02"
"Sealing_Temperature_C-Sq","1.04e+01"
"Sealing_Pressure_N_cm2-Sq","1.87e-01"
"Sealing_Pressure_N_cm2-log","1.17e-01"
"Sealing_Pressure_N_cm2","8.94e-02"
"Sealing_Time_ms","1.34e-02"
"Time_Temp","2.81e-05"
"Sealing_Temperature_C-3","2.33e-05"
"Time_Pr","3.17e-06"
"Sealing_Time_ms-3","3.85e-09"
"Sealing_Pressure_N_cm2-3","-6.09e-07"
"Sealing_Time_ms-2","-9.12e-06"
"Temp_Pr","-3.34e-04"
"Sealing_Pressure_N_cm2-2","-5.11e-04"
"Sealing_Temperature_C-2","-2.53e-03"
"Sealing_Time_ms-Sq","-3.47e-01"
"Sealing_Time_ms-log","-6.88e-01"
"Sealing_Temperature_C","-2.05e+00"
