"Feature","Importance"
"Sealing_Pressure_N_cm2-2","6.63e-04"
"Temp_Pr","4.80e-05"
"Sealing_Temperature_C-2","1.10e-05"
"Sealing_Time_ms-2","8.88e-06"
"Sealing_Temperature_C-3","1.15e-07"
"Sealing_Temperature_C","0.00e+00"
"Sealing_Pressure_N_cm2-log","0.00e+00"
"Sealing_Time_ms-log","0.00e+00"
"Sealing_Time_ms-Sq","0.00e+00"
"Sealing_Pressure_N_cm2-Sq","0.00e+00"
"Sealing_Pressure_N_cm2","0.00e+00"
"Sealing_Temperature_C-log","0.00e+00"
"Sealing_Temperature_C-Sq","0.00e+00"
"Sealing_Time_ms","0.00e+00"
"Sealing_Time_ms-3","-2.39e-09"
"Sealing_Pressure_N_cm2-3","-3.47e-06"
"Time_Temp","-1.30e-05"
"Time_Pr","-3.00e-05"
