"Feature","Importance"
"Temp_Thick","1.61e+01"
"Sealing_Time_ms","1.24e+00"
"Sealent_layer_thickness-3","8.78e-01"
"Sealing_Temperature_C","5.37e-01"
"Time_Thick","1.16e-01"
"Sealent_layer_thickness-2","2.93e-02"
"Pr_Thick","9.82e-03"
"Sealing_Temperature_C-3","2.52e-03"
"Sealent_layer_thickness","1.53e-03"
"Sealing_Time_ms-Sq","3.81e-04"
"Sealing_Pressure_N_cm2","3.25e-04"
"Sealent_layer_thickness-Sq","1.78e-04"
"Sealing_Time_ms-log","1.63e-04"
"Sealing_Pressure_N_cm2-Sq","1.36e-04"
"Temp_Pr","1.26e-04"
"Sealent_layer_thickness-log","1.11e-04"
"Sealing_Pressure_N_cm2-log","8.97e-05"
"Time_Temp","4.05e-05"
"Sealing_Pressure_N_cm2-3","2.95e-05"
"Sealing_Time_ms-3","7.58e-06"
"Time_Pr","-6.81e-05"
"Sealing_Pressure_N_cm2-2","-5.19e-03"
"Sealing_Time_ms-2","-1.10e-02"
"Sealing_Temperature_C-2","-1.46e+00"
"Sealing_Temperature_C-log","-2.79e+03"
"Sealing_Temperature_C-Sq","-4.76e+03"
