"Feature","Importance"
"Sealing_Pressure_N_cm2","1.77e-05"
"Sealing_Time_ms","-1.48e-08"
"Sealing_Temperature_C","6.93e-04"
"Sealent_layer_thickness","0.00e+00"
"Sealing_Pressure_N_cm2-2","8.11e-04"
"Sealing_Pressure_N_cm2-3","-1.04e-05"
"Sealing_Pressure_N_cm2-Sq","1.67e-06"
"Sealing_Pressure_N_cm2-log","6.10e-07"
"Sealing_Time_ms-2","-6.36e-06"
"Sealing_Time_ms-3","9.76e-09"
"Sealing_Time_ms-Sq","-4.57e-10"
"Sealing_Time_ms-log","-5.54e-11"
"Sealing_Temperature_C-2","-5.03e-03"
"Sealing_Temperature_C-3","1.43e-05"
"Sealing_Temperature_C-Sq","5.92e-05"
"Sealing_Temperature_C-log","1.71e-05"
"Sealent_layer_thickness-2","0.00e+00"
"Sealent_layer_thickness-3","0.00e+00"
"Sealent_layer_thickness-Sq","2.42e-31"
"Sealent_layer_thickness-log","-6.05e-32"
"Time_Temp","3.81e-05"
"Temp_Pr","1.46e-04"
"Time_Pr","-6.89e-05"
"Temp_Thick","2.08e-02"
"Time_Thick","-4.43e-07"
"Pr_Thick","5.31e-04"
