"Feature","Importance"
"Sealing_Temperature_C-log","1.52e+02"
"Sealing_Temperature_C-Sq","9.60e+00"
"Sealing_Pressure_N_cm2-Sq","5.28e-01"
"Sealing_Pressure_N_cm2-log","3.57e-01"
"Sealing_Temperature_C","4.79e-02"
"Sealing_Pressure_N_cm2","7.69e-03"
"Sealing_Time_ms","8.54e-04"
"Pr_Thick","6.28e-04"
"Time_Temp","2.82e-05"
"Sealing_Temperature_C-3","2.33e-05"
"Time_Pr","3.03e-06"
"Sealing_Time_ms-2","9.05e-07"
"Sealing_Time_ms-3","6.31e-10"
"Sealing_Pressure_N_cm2-3","-1.71e-06"
"Time_Thick","-7.27e-05"
"Sealing_Pressure_N_cm2-2","-1.60e-04"
"Temp_Pr","-3.32e-04"
"Sealing_Temperature_C-2","-2.34e-03"
"Temp_Thick","-5.43e-02"
"Sealing_Time_ms-Sq","-5.69e-02"
"Sealing_Time_ms-log","-1.11e-01"
