"Feature","Importance"
"Sealing_Temperature_C-Sq","7.44e+02"
"Sealing_Temperature_C-log","4.30e+02"
"Sealing_Temperature_C-2","1.86e-01"
"Sealing_Time_ms","4.80e-02"
"Sealing_Pressure_N_cm2-2","1.38e-03"
"Pr_Thick","6.72e-04"
"Sealing_Time_ms-2","3.07e-04"
"Time_Temp","2.98e-05"
"Sealing_Pressure_N_cm2","1.30e-05"
"Sealent_layer_thickness","1.26e-05"
"Time_Pr","-1.92e-07"
"Sealing_Time_ms-3","-2.10e-07"
"Sealing_Pressure_N_cm2-Sq","-2.19e-06"
"Sealing_Pressure_N_cm2-log","-2.41e-06"
"Sealent_layer_thickness-log","-3.56e-06"
"Sealing_Time_ms-log","-4.84e-06"
"Sealent_layer_thickness-Sq","-6.11e-06"
"Sealing_Time_ms-Sq","-1.13e-05"
"Sealing_Pressure_N_cm2-3","-1.37e-05"
"Sealing_Temperature_C-3","-2.76e-04"
"Temp_Pr","-3.42e-04"
"Sealent_layer_thickness-2","-1.55e-03"
"Time_Thick","-4.60e-03"
"Sealing_Temperature_C","-4.36e-02"
"Sealent_layer_thickness-3","-6.18e-02"
"Temp_Thick","-1.75e+00"
