"Feature","Importance"
"Sealing_Temperature_C","6.66e-03"
"Sealing_Pressure_N_cm2","5.55e-06"
"Sealing_Time_ms","-2.43e-09"
"Sealing_Temperature_C-2","4.68e-04"
"Sealing_Temperature_C-3","-1.73e-06"
"Sealing_Temperature_C-Sq","4.75e-04"
"Sealing_Temperature_C-log","1.16e-04"
"Sealing_Pressure_N_cm2-2","3.91e-04"
"Sealing_Pressure_N_cm2-3","-3.61e-06"
"Sealing_Pressure_N_cm2-Sq","4.20e-07"
"Sealing_Pressure_N_cm2-log","1.24e-07"
"Sealing_Time_ms-2","-1.05e-06"
"Sealing_Time_ms-3","-3.73e-09"
"Sealing_Time_ms-Sq","-7.53e-11"
"Sealing_Time_ms-log","-9.13e-12"
"Time_Temp","2.58e-05"
"Temp_Pr","-5.53e-05"
"Time_Pr","3.58e-05"
